ano_dados,arquivo,caminho,tipo_arquivo,encoding_detectado,qtd_colunas,colunas_json,tipos_inferidos_json,header_hash,linhas_amostra
2021,atasRegistroPrecos_3ea0e895-35ae-43fb-93b2-e36edc1920c9.csv,data\2021\atasRegistroPrecos_3ea0e895-35ae-43fb-93b2-e36edc1920c9.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""text""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_40703291-9e10-40dd-8383-a49231c42aaf.csv,data\2021\atasRegistroPrecos_40703291-9e10-40dd-8383-a49231c42aaf.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_40efb634-ae33-49d6-95e7-4de334a6f52e.csv,data\2021\atasRegistroPrecos_40efb634-ae33-49d6-95e7-4de334a6f52e.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,7
2021,atasRegistroPrecos_4408e922-e416-4828-9950-aa6a624481ec.csv,data\2021\atasRegistroPrecos_4408e922-e416-4828-9950-aa6a624481ec.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_49b05781-9707-4e7e-bc19-5bbdf91d052c.csv,data\2021\atasRegistroPrecos_49b05781-9707-4e7e-bc19-5bbdf91d052c.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,4
2021,atasRegistroPrecos_4b97df09-2f85-40f3-830d-8416b190ddb5.csv,data\2021\atasRegistroPrecos_4b97df09-2f85-40f3-830d-8416b190ddb5.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_4dbf39e1-e4c9-442f-88e3-2a1b25ee8f6f.csv,data\2021\atasRegistroPrecos_4dbf39e1-e4c9-442f-88e3-2a1b25ee8f6f.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,3
2021,atasRegistroPrecos_4f1f45d0-1693-4ce6-993e-f2ec7b53048d.csv,data\2021\atasRegistroPrecos_4f1f45d0-1693-4ce6-993e-f2ec7b53048d.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""empty"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_52d2fd6a-4a64-4ec9-91af-8d53e29dc385.csv,data\2021\atasRegistroPrecos_52d2fd6a-4a64-4ec9-91af-8d53e29dc385.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
2021,atasRegistroPrecos_5387ea7f-fe58-435c-8be1-00ebc20d69db.csv,data\2021\atasRegistroPrecos_5387ea7f-fe58-435c-8be1-00ebc20d69db.csv,atasRegistroPrecos,utf-8,6,"[""ano"", ""data"", ""dataVencimento"", ""itens"", ""numero"", ""ocorrencias""]","{""ano"": ""numeric_like"", ""data"": ""datetime_like"", ""dataVencimento"": ""datetime_like"", ""itens"": ""text"", ""numero"": ""numeric_like"", ""ocorrencias"": ""empty""}",3696ad2c3d11de9cc04fc9b6e248144766f47380,1
