descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"LP52D01003P1	EIXO RODA GUIA",0,2,DESCLASSIFICADO," ",826,413
"LP52D01004P1	BUCHA RODA GUIA",0,4,DESCLASSIFICADO," ",612,153
"YN02C01787P1	VIDRO",0,1,DESCLASSIFICADO," ",1746,1746
"2427U900	RESERVATÓRIO",0,1,DESCLASSIFICADO," ",314,314
"YN03M01695P1	COXIM MOTOR",0,4,DESCLASSIFICADO," ",1036,259
"ZM22C10035	COXIM MOTOR",0,4,DESCLASSIFICADO," ",1212,303
"YY01V00054S016	EMBOLO CILINDRO PROFUNDIDADE",0,1,DESCLASSIFICADO," ",332,332
"YY01V00054S005	TAMPA CILINDRO PROFUNDIDADE",0,1,DESCLASSIFICADO," ",514,514
"YX22V00007F1	EIXO MOTOR DE GIRO",0,1,DESCLASSIFICADO," ",2359,2359
"YX32W0002S210	ENGRENAGEM",0,3,DESCLASSIFICADO," ",2667,889
"YX15V00004S742	PLACA FRICÇÃO",0,3,DESCLASSIFICADO," ",2688,896
"YX15V00004S743	PLACA FRICÇÃO",0,4,DESCLASSIFICADO," ",4008,1002
"YM30P01007F1	ACOPLAMENTO",0,1,DESCLASSIFICADO," ",2511,2511
"45Z91D104	ANEL ORING",0,8,DESCLASSIFICADO," ",48,6
"YN20P01034P2	TAMPA TANQUE DIESEL",0,2,DESCLASSIFICADO," ",312,156
"YY12P00012P1	SILENCIOSO",0,1,DESCLASSIFICADO," ",1248,1248
"YB12P01013P1	TUBO",0,1,DESCLASSIFICADO," ",522,522
"YY11P01028P1	MANGUEIRA FILTRO DE AR",0,1,DESCLASSIFICADO," ",409,409
"YY05P00031S001	RADIADOR DÁGUA",0,1,DESCLASSIFICADO," ",4650,4650
"YN02P01095P1	COXIM",0,8,DESCLASSIFICADO," ",1560,195
"YY02P01027P1	SUPORTE DE FERRO",0,1,DESCLASSIFICADO," ",468,468
"YY02P01028P1	SUPORTE DE FERRO",0,1,DESCLASSIFICADO," ",563,563
"YY01V00054F1	CILINDRO DE PROFUNDIDADE",0,1,DESCLASSIFICADO," ",5942,5942
"YF30V00013F1	DISTRIBUIDOR",0,1,DESCLASSIFICADO," ",5174,5174
"YN30V00105F1	VÁLVULA PILOTO",0,1,DESCLASSIFICADO," ",3050,3050
"YN12B01602D1	ARRUELA DE AJUSTE",0,8,DESCLASSIFICADO," ",128,16
"YY01V00053S016	EMBOLO CILINDRO LEVANTE",0,2,DESCLASSIFICADO," ",624,312
"YY01V00053S005	TAMPA DO CILINDRO LEVANTE",0,2,DESCLASSIFICADO," ",996,498
"YN52S00032P1	POTENCIONADOR",0,1,DESCLASSIFICADO," ",2043,2043
"YY05P01238P1	TUBO FLEXIVEL",0,1,DESCLASSIFICADO," ",1872,1872
"YN53C01003S001	BRAÇO LIMPADOR",0,2,DESCLASSIFICADO," ",1500,750
"MAO DE OBRA MECANICA",0,300,DESCLASSIFICADO," ",33000,110
"YN52D01008P1	PINO TRAVA",0,4,DESCLASSIFICADO," ",56,14
"2830445	JUNTA",0,8,DESCLASSIFICADO," ",272,34
"2445R220D4	ANEL VEDAÇÃO",0,8,DESCLASSIFICADO," ",104,13
"YM12B01039P1	ELO",0,1,DESCLASSIFICADO," ",527,527
"2444P803	VÁLVULA ESTICADOR",0,2,DESCLASSIFICADO," ",72,36
"YN50C01189P1	FECHADURA",0,1,DESCLASSIFICADO," ",390,390
"YN20M00107S020	EVAPORADOR",0,1,DESCLASSIFICADO," ",4913,4913
"YM12P00010P1	SILENCIOSO",0,1,DESCLASSIFICADO," ",755,755
"YM12P01009P1	TUBO ESCAPE",0,1,DESCLASSIFICADO," ",258,258
"YN64D01068F1	ROLETE SUPERIOR",0,8,DESCLASSIFICADO," ",7080,885
"2445R361F1	DUOCONE",0,8,DESCLASSIFICADO," ",720,90
"YN64D01069P1	EIXO",0,4,DESCLASSIFICADO," ",1048,262
"YN03M01695P1	COXIM MOTOR",0,8,DESCLASSIFICADO," ",440,55
"YN50C01173P1	VIDRO FRONTAL",0,1,DESCLASSIFICADO," ",1799,1799
"YM54D01003P2	MOLA ESTEIRA",0,2,DESCLASSIFICADO," ",2986,1493
"YF64D00001F1	ROLETE INFERIOR",0,14,DESCLASSIFICADO," ",8456,604
"YM51D01001P1	RODA MOTRIZ",0,2,DESCLASSIFICADO," ",3084,1542
"ZS13C16045	PARAFUSO",0,120,DESCLASSIFICADO," ",600,5
"YN40F01019D7	ANEL VEDAÇÃO",0,4,DESCLASSIFICADO," ",16,4
"YM12B01052P1	PINO",0,2,DESCLASSIFICADO," ",1784,892
"2445R138D8	RETENTOR",0,8,DESCLASSIFICADO," ",160,20
"YM43H01013P1	TUBO HIDRÁULICO",0,2,DESCLASSIFICADO," ",564,282
"YM60D00004P1	SAPATA",0,60,DESCLASSIFICADO," ",12420,207
"YN52D01011P1	MANCAL RODA GUIA",0,4,DESCLASSIFICADO," ",1548,387
"2445R152D1	ANEL ORING",0,8,DESCLASSIFICADO," ",48,6
"YB10V00004S019	VEDADOR",0,2,DESCLASSIFICADO," ",48,24
"YM01V00017R300	JG. REP. CILINDRO PROFUNDIDADE",0,1,DESCLASSIFICADO," ",1248,1248
"YN52D01001P1	EIXO RODA GUIA",0,2,DESCLASSIFICADO," ",546,273
"ZD11G07000	ANEL",0,8,DESCLASSIFICADO," ",40,5
"2439P177	PISTÃO ESTICADOR",0,2,DESCLASSIFICADO," ",1090,545
"YN40F01019D8	ANEL VEDAÇÃO",0,4,DESCLASSIFICADO," ",20,5
"YN52D01006P1	RODA GUIA",0,2,DESCLASSIFICADO," ",2496,1248
"2420P1580D4	PARAFUSO",0,56,DESCLASSIFICADO," ",336,6
"2445R451F1	DUOCONE",0,8,DESCLASSIFICADO," ",944,118
"YM01V00017F1	CILINDRO PROFUNDIDADE",0,1,DESCLASSIFICADO," ",5048,5048
"2438U999S4	BUCHA METÁLICA",0,2,DESCLASSIFICADO," ",126,63
"LQ01V00003S014	EMBÔLO",0,1,DESCLASSIFICADO," ",372,372
"YN02C02136P1	VIDRO LATERAL",0,1,DESCLASSIFICADO," ",885,885
"YM12B01070P1	PINO",0,2,DESCLASSIFICADO," ",1386,693
"YN12B01596P1	BUCHA",0,4,DESCLASSIFICADO," ",932,233
"YM01V00019F1	CILINDRO LEVANTE",0,2,DESCLASSIFICADO," ",7620,3810
"2438U1109S14	BUCHA METÁLICA",0,2,DESCLASSIFICADO," ",118,59
"YM01V00019S015	EMBÔLO",0,1,DESCLASSIFICADO," ",348,348
"2438U1109S14	BUCHA",0,2,DESCLASSIFICADO," ",364,182
"YM12B01040P1	ELO",0,1,DESCLASSIFICADO," ",527,527
"YB12B01072P1	BUCHA",0,4,DESCLASSIFICADO," ",1020,255
"YM02B01036P1	BUCHA",0,4,DESCLASSIFICADO," ",536,134
"B16T0442D52	CALÇO 0.50MM",0,10,DESCLASSIFICADO," ",20,2
"B16T0442D39	CALÇO 0.90MM",0,10,DESCLASSIFICADO," ",20,2
"B16T0442D4	CALÇO 1.6MM",0,10,DESCLASSIFICADO," ",20,2
"2419P210	PINO",0,50,DESCLASSIFICADO," ",2300,46
"2424J376	ELO L.D.",0,40,DESCLASSIFICADO," ",2680,67
"YN30V00080F1	VÁLVULA",0,1,DESCLASSIFICADO," ",2630,2630
"LC52S00019P1	SENSOR PRESSÃO DO COMANDO",0,1,DESCLASSIFICADO," ",1015,1015
"YN03M01573P1	COXIM MOTOR",0,8,DESCLASSIFICADO," ",424,53
"YM05P00019S006	RADIADOR DE ÓLEO",0,1,DESCLASSIFICADO," ",2477,2477
"YN30V00105R150	JG. REPARO JOY STICK",0,1,DESCLASSIFICADO," ",719,719
"YB12B01838P1	BUCHA",0,4,DESCLASSIFICADO," ",1188,297
"YM12B01066P1	PINO",0,2,DESCLASSIFICADO," ",2068,1034
"YN64D01069P1	EIXO ROLETE",0,4,DESCLASSIFICADO," ",1048,262
"ZD12P02900	ANEL ORING",0,20,DESCLASSIFICADO," ",120,6
"2405P415	BUCHA MESTRE",0,8,DESCLASSIFICADO," ",352,44
"YM01V00018F1	CILINDRO DA CONCHA",0,1,DESCLASSIFICADO," ",3610,3610
"2438U1949S4	BUCHA METÁLICA",0,2,DESCLASSIFICADO," ",110,55
"YM01V00018S015	EMBÔLO",0,1,DESCLASSIFICADO," ",324,324
"YM12B01092P1	BUCHA",0,4,DESCLASSIFICADO," ",676,169
"YM10V00006S123	ROLAMENTO",0,2,DESCLASSIFICADO," ",388,194
"YM10V00006S124	ROLAMENTO",0,2,DESCLASSIFICADO," ",428,214
"YM12B01135P1	BUCHA",0,4,DESCLASSIFICADO," ",700,175
"YM12B01136P1	BUCHA",0,4,DESCLASSIFICADO," ",612,153
"YN32W01072P1	ROLAMENTO",0,4,DESCLASSIFICADO," ",368,92
"ZR16X04000	ANEL ORING",0,9,DESCLASSIFICADO," ",63,7
"4895347	RETENTOR",0,8,DESCLASSIFICADO," ",392,49
"4895183	BUCHA",0,16,DESCLASSIFICADO," ",304,19
"YN32W01066P1	PINO GUIA",0,3,DESCLASSIFICADO," ",54,18
"YN32W01030P1	ROLAMENTO",0,2,DESCLASSIFICADO," ",174,87
"YN02C01787P1	VIDRO",0,1,DESCLASSIFICADO," ",1675,1675
"YN02C03160P1	VIDRO",0,1,DESCLASSIFICADO," ",1293,1293
"YM01V00019R300	JG. REP. CILINDRO LEVANTE",0,4,DESCLASSIFICADO," ",4080,1020
"YM02B01069P1	PINO",0,2,DESCLASSIFICADO," ",2386,1193
"2420T6976	PARAFUSO",0,360,DESCLASSIFICADO," ",1800,5
"2420P1552	PORCA",0,360,DESCLASSIFICADO," ",1440,4
"2445Z1449	VEDAÇÃO",0,176,DESCLASSIFICADO," ",352,2
"2405P416	BUCHA",0,50,DESCLASSIFICADO," ",1900,38
"2853120	TUBO ENCHIMENTO",0,1,DESCLASSIFICADO," ",549,549
"YN32W01073P1	ROLAMENTO",0,6,DESCLASSIFICADO," ",1176,196
"4897877	JUNTA CÁRTER",0,2,DESCLASSIFICADO," ",184,92
"ZD12P02000	ANEL ORING",0,36,DESCLASSIFICADO," ",324,9
"YN35V00050F1	VALVULA SOLENÓIDE",0,1,DESCLASSIFICADO," ",1825,1825
"YM10V01002F1	VÁLVULA REGULADORA",0,1,DESCLASSIFICADO," ",3104,3104
"YN32W01053P1	ENGRENAGEM",0,3,DESCLASSIFICADO," ",3534,1178
"YN32W01056P1	ANEL ORING",0,12,DESCLASSIFICADO," ",72,6
"2852684	RESPIRO",0,2,DESCLASSIFICADO," ",210,105
"4899632	VÁLVULA ADMISSÃO",0,4,DESCLASSIFICADO," ",432,108
"YN32W01029P1	ROLAMENTO",0,2,DESCLASSIFICADO," ",204,102
"71469389	CARRIER",0,1,DESCLASSIFICADO," ",1261,1261
"2445R442F1	DUOCONE",0,4,DESCLASSIFICADO," ",656,164
"2405P482	BUCHA",0,4,DESCLASSIFICADO," ",380,95
"YM32W01002P1	PINHÃO GIRO",0,1,DESCLASSIFICADO," ",2457,2457
"2437U213S157	MOLA",0,24,DESCLASSIFICADO," ",336,14
"2424J377	ELO L.E.",0,40,DESCLASSIFICADO," ",2680,67
"2419P4211	PINO MESTRE",0,8,DESCLASSIFICADO," ",720,90
"4895393	ANEL ORING",0,8,DESCLASSIFICADO," ",32,4
"2853443	BOMBA DÁGUA",0,2,DESCLASSIFICADO," ",774,387
"YX10V00003S015	ANEL ORING",0,15,DESCLASSIFICADO," ",135,9
"YN02B01417D1	ARRUELA",0,16,DESCLASSIFICADO," ",224,14
"YM01V00018R300	JG. REP. CILINDRO CONCHA",0,2,DESCLASSIFICADO," ",2400,1200
"YN55V01057P1	VEDADOR",0,10,DESCLASSIFICADO," ",380,38
