descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"87613430 BUCHA",1288679,674,2,ATIVO,UNIDADE,874.06,437.03
"S92653	ANEL",1288680,673,10,ATIVO,UNIDADE,1073.6,107.36
"D95146	ANEL",1288681,672,5,ATIVO,UNIDADE,161.5,32.3
"496-81025 ARRUELA",1288682,671,5,ATIVO,UNIDADE,66.5,13.3
"L125100 ESPAÇADOR",1288683,670,5,ATIVO,UNIDADE,71.25,14.25
"86993027 PINO",1288684,669,2,ATIVO,UNIDADE,980.46,490.23
"86993026 PINO",1288685,668,1,ATIVO,UNIDADE,418.03,418.03
"86993024 PINO",1288686,667,1,ATIVO,UNIDADE,711.6,711.6
"86993023 PINO",1288687,666,1,ATIVO,UNIDADE,475.98,475.98
"86993022 PINO",1288688,665,1,ATIVO,UNIDADE,794.25,794.25
"8605216 VÁLVULA",1288689,664,1,ATIVO,UNIDADE,495.93,495.93
"379139A1 VÁLVULA",1288690,663,1,ATIVO,UNIDADE,993.77,993.77
"75324429 INTERRUPTOR",1288691,662,1,ATIVO,UNIDADE,271.72,271.72
"637-64296 ANEL",1288692,661,10,ATIVO,UNIDADE,104.5,10.45
"389161A1 MANGUEIRA",1288693,660,1,ATIVO,UNIDADE,287.87,287.87
"86983366 TUBO",1288694,659,1,ATIVO,UNIDADE,253.67,253.67
"238-6021 ANEL",1288695,657,10,ATIVO,UNIDADE,9.5,0.95
"232948A1 SENSOR",1288696,748,3,ATIVO,UNIDADE,1074.51,358.17
"71102182 ADITIVO",1288944,749,3,ATIVO,UNIDADE,381.93,127.31
"MAO DE OBRA MECANICA",1288945,750,250,ATIVO,HORAS,19715,78.86
"MAO DE OBRA MECANICA",1288956,1077,200,ATIVO,HORAS,13020,65.1
"NH90 REDUTOR TRANSLAÇÃO",1288957,1076,2,ATIVO,UNIDADE,382.56,191.28
"NH46 ÓLEO HIDRÁULICO",1288958,1075,5,ATIVO,UNIDADE,1908.75,381.75
"NHAGRIFLU ADITIVO RADIADOR",1288959,1074,5,ATIVO,UNIDADE,156.7,31.34
"NH330H ÓLEO MOTOR",1288960,1073,20,ATIVO,UNIDADE,3439.8,171.99
"72205958 PORTA DENTE",1288961,1072,2,ATIVO,UNIDADE,639.74,319.87
"72205959 PINO",1288962,1071,5,ATIVO,UNIDADE,373.7,74.74
"72185358EC DENTE",1288963,1070,5,ATIVO,UNIDADE,490.25,98.05
"VA32G9000200	SENSOR",1288964,1069,2,ATIVO,UNIDADE,559.36,279.68
"VA32G9000700	SENSOR",1288965,1068,2,ATIVO,UNIDADE,2832.22,1416.11
"VA0556370258	ANEL",1288966,1067,2,ATIVO,UNIDADE,136.62,68.31
"VA32G4800200	HELICE",1288967,1066,2,ATIVO,UNIDADE,5259.36,2629.68
"YN35V00048F1	VALVULA SOLENOIDE",1288968,1065,2,ATIVO,UNIDADE,4068.3,2034.15
"YN30V00111F1	CONJ VÁLVULA",1288969,1064,1,ATIVO,UNIDADE,3075.73,3075.73
"2436U1277S211 BUJÃO",1288970,1063,2,ATIVO,UNIDADE,774.76,387.38
"ZD12P02000 ANEL",1288971,1062,2,ATIVO,UNIDADE,16.08,8.04
"2436U1277S213 JUNTA",1288972,1061,2,ATIVO,UNIDADE,221.82,110.91
"YY01V00055R300 Reparo",1288974,1060,2,ATIVO,UNIDADE,7864.94,3932.47
"YY01V00054R700 REPARO",1289006,1059,2,ATIVO,UNIDADE,6217.36,3108.68
"YN35V00052F1	VÁLVULA",1289007,1057,1,ATIVO,UNIDADE,2858.73,2858.73
"YY12B01429P1	PINO",1289008,1025,2,ATIVO,UNIDADE,1310.02,655.01
"YM12B01101P1 BUCHA",1289009,1024,2,ATIVO,UNIDADE,676.7,338.35
"YM12B01120P1 Bucha",1289010,1023,2,ATIVO,UNIDADE,364.88,182.44
"YY12B01432P1	PINO",1289011,1022,2,ATIVO,UNIDADE,1671.68,835.84
"HS18C16130G2	PARAFUSO",1289012,1021,2,ATIVO,UNIDADE,13.66,6.83
"YY12B01435P1	PINO",1289013,1020,2,ATIVO,UNIDADE,1650.78,825.39
"2445R220D1 ANEL",1289014,1019,2,ATIVO,UNIDADE,168.78,84.39
"2445R220D2 Anel",1289015,1018,2,ATIVO,UNIDADE,191.28,95.64
"YW80S00001S001 FAROL",1289016,1017,2,ATIVO,UNIDADE,1486.84,743.42
"ZX20H10078 Mangueira",1289017,1016,2,ATIVO,UNIDADE,2282.48,1141.24
"YX02B01003P1	PINO",1289018,1015,2,ATIVO,UNIDADE,369.7,184.85
"YY02B01177P1	PINO",1289019,1014,2,ATIVO,UNIDADE,4333.5,2166.75
"ZS18C10020 PARAFUSO",1289020,1013,2,ATIVO,UNIDADE,3.22,1.61
"YY02B01174P1	PINO",1289021,1012,2,ATIVO,UNIDADE,1650.78,825.39
"YN12B01602D1	CALÇO",1289022,1011,2,ATIVO,UNIDADE,91.62,45.81
"B16T0442D2 CALÇO",1289023,1010,2,ATIVO,UNIDADE,96.44,48.22
"B16T0442D44 Calço",1289024,1009,2,ATIVO,UNIDADE,54.66,27.33
"B16T0442D57 Calço",1289025,1008,2,ATIVO,UNIDADE,90.02,45.01
"ZD12P02900 Anel",1289026,1007,2,ATIVO,UNIDADE,16.88,8.44
"LP60D01002P1	PORCA",1289027,1006,10,ATIVO,UNIDADE,36.2,3.62
"YY60D01004P1	PARAFUSO",1289028,1005,10,ATIVO,UNIDADE,52.2,5.22
"YY64D01005F1	ROLETE",1289029,1004,2,ATIVO,UNIDADE,1298.76,649.38
"YY64D01004P1	EIXO",1289030,1003,2,ATIVO,UNIDADE,1403.24,701.62
"ZD11G04500 Anel",1289031,1002,2,ATIVO,UNIDADE,13.66,6.83
"2445R440F1 ANEL",1289032,1001,2,ATIVO,UNIDADE,279.68,139.84
"ZP26D06063 PINO",1289033,1000,2,ATIVO,UNIDADE,10.12,5.06
"YY70V00002P1	CILINDRO",1289034,999,2,ATIVO,UNIDADE,6863.54,3431.77
"YY12B01428P1	PINO",1289035,1026,2,ATIVO,UNIDADE,1236.08,618.04
"YY01V00053R300 REPARO",1289036,1058,2,ATIVO,UNIDADE,8273.2,4136.6
"ZG91S02000 GRAXEIRA",1289037,1027,2,ATIVO,UNIDADE,18.48,9.24
"YY12B01449P1	BUCHA",1289038,1029,2,ATIVO,UNIDADE,739.4,369.7
"YN35V00050F1	VÁLVULA",1289039,1056,1,ATIVO,UNIDADE,1995.57,1995.57
"LP22V00001F1	VÁLVULA",1289040,1055,1,ATIVO,UNIDADE,1113.11,1113.11
"YN22V00002F1	VÁLVULA",1289041,1054,1,ATIVO,UNIDADE,2923.03,2923.03
"YN22V00029F1	VÁLVULA",1289042,1053,1,ATIVO,UNIDADE,2954.37,2954.37
"2436U1457S162 ANEL",1289043,1052,2,ATIVO,UNIDADE,172,86
"ZD12P03200 ANEL",1289044,1051,2,ATIVO,UNIDADE,20.9,10.45
"ZD12P00700 JUNTA",1289045,1050,2,ATIVO,UNIDADE,12.06,6.03
"ZD12P01000 ANEL",1289046,1049,2,ATIVO,UNIDADE,17.68,8.84
"ZD12P01500 ANEL",1289047,1048,2,ATIVO,UNIDADE,24.12,12.06
"ZD12G03000 ANEL",1289048,1047,2,ATIVO,UNIDADE,19.28,9.64
"YN53S00004F1	ALARME",1289049,1046,2,ATIVO,UNIDADE,853.52,426.76
"YN02C01121P1	ESPELHO",1289050,1045,2,ATIVO,UNIDADE,683.14,341.57
"HG23H12012G1 CONECTOR",1289051,1044,2,ATIVO,UNIDADE,135.02,67.51
"ZD12G04000 ANEL",1289052,1043,1,ATIVO,UNIDADE,11.25,11.25
"YN30V00080F1	VÁLVULA",1289053,1042,2,ATIVO,UNIDADE,6236.66,3118.33
"2444Z2894 CONEXÃO",1289054,1041,2,ATIVO,UNIDADE,200.92,100.46
"ZE13X12000 BUJÃO",1289055,1040,2,ATIVO,UNIDADE,564.2,282.1
"ZD12P03800 ANEL",1289056,1039,2,ATIVO,UNIDADE,41.8,20.9
"YN22V00035F1	VÁLVULA",1289057,1038,1,ATIVO,UNIDADE,3769.32,3769.32
"VA3424011101	ELEMENTO",1289058,1037,2,ATIVO,UNIDADE,453.28,226.64
"2445Z869 ANEL",1289059,1036,2,ATIVO,UNIDADE,65.9,32.95
"2419T6002D7	PINO",1289060,1035,2,ATIVO,UNIDADE,101.26,50.63
"2418T23986D1	ANEL",1289061,1034,2,ATIVO,UNIDADE,294.16,147.08
"YY12B01436P1	PINO",1289062,1033,2,ATIVO,UNIDADE,1981.9,990.95
"YY43H01231D2	MANGUEIRA",1289063,1032,1,ATIVO,UNIDADE,1498.08,1498.08
"YY12B01447P1	BUCHA",1289064,1031,2,ATIVO,UNIDADE,2276.06,1138.03
"YY12B01446P1	BUCHA",1289065,1030,2,ATIVO,UNIDADE,2340.36,1170.18
"YY12B01448P1	BUCHA",1289066,1028,2,ATIVO,UNIDADE,1011.04,505.52
"LQ54D01023P1	PINO",1289067,998,2,ATIVO,UNIDADE,88.4,44.2
"2439P171 PINO",1289192,997,2,ATIVO,UNIDADE,2044.6,1022.3
"ZD12G06500 Anel",1289193,995,2,ATIVO,UNIDADE,32.14,16.07
"2445R138D8 RETENTOR",1289194,839,3,ATIVO,UNIDADE,211.41,70.47
"YM12B01070P1 Pino",1289195,838,1,ATIVO,UNIDADE,624.31,624.31
"YM12B01068P1 Pino",1289196,837,2,ATIVO,UNIDADE,1398.08,699.04
"YM12B01052P1 Pino",1289197,836,2,ATIVO,UNIDADE,1428.36,714.18
"2445R220D4 RETENTOR",1289198,835,7,ATIVO,UNIDADE,602.56,86.08
"2445R220D2 RETENTOR",1289199,834,7,ATIVO,UNIDADE,787.99,112.57
"2445R220D3 RETENTOR",1289200,833,7,ATIVO,UNIDADE,582.68,83.24
"YN12B01838P1	BUCHA",1289201,832,3,ATIVO,UNIDADE,644.19,214.73
"YB12B01072P1	BUCHA",1289202,831,3,ATIVO,UNIDADE,695.25,231.75
"ZX20H10074 Mangueira",1289203,830,1,ATIVO,UNIDADE,1332.81,1332.81
"ZD12P03400 ANEL",1289204,829,7,ATIVO,UNIDADE,82.74,11.82
"ZD12A01800 Anel",1289205,828,7,ATIVO,UNIDADE,76.16,10.88
"ZD12P02600 ANEL",1289206,827,7,ATIVO,UNIDADE,56.28,8.04
"ZD12A01800 Anel",1289207,826,7,ATIVO,UNIDADE,79.45,11.35
"YB02B01087P1	CALÇO",1289208,825,2,ATIVO,UNIDADE,34.06,17.03
"YB02B01086P1	CALÇO",1289209,824,3,ATIVO,UNIDADE,29.79,9.93
"ZN16C20016 PORCA",1289210,823,3,ATIVO,UNIDADE,14.19,4.73
"ZS18C20180 PARAFUSO",1289211,822,1,ATIVO,UNIDADE,153.24,153.24
"YB02B01085P1	PINO",1289212,821,1,ATIVO,UNIDADE,1941.05,1941.05
"YM02B01036P1 Bucha",1289213,820,2,ATIVO,UNIDADE,1426.46,713.23
"ZG91S02000 PINO GRAXEIRO",1289214,819,7,ATIVO,UNIDADE,72.87,10.41
"2445R220D17 RETENTOR",1289215,818,3,ATIVO,UNIDADE,522.15,174.05
"ZD12A01600 ANEL",1289216,817,3,ATIVO,UNIDADE,21.27,7.09
"ZD12P02900 Anel",1289217,816,3,ATIVO,UNIDADE,29.79,9.93
"237-6004 Anel",1289218,815,3,ATIVO,UNIDADE,32.64,10.88
"ZD12P01100 ANEL",1289219,814,3,ATIVO,UNIDADE,24.12,8.04
"ZD12G08000 ANEL",1289220,813,3,ATIVO,UNIDADE,136.2,45.4
"2418T4037D5 CALÇO",1289221,840,3,ATIVO,UNIDADE,201.48,67.16
"2418U130D35 MOLA",1289222,812,2,ATIVO,UNIDADE,262.96,131.48
"2418T4037D3 CALÇO",1289223,841,3,ATIVO,UNIDADE,201.48,67.16
"YM12B01135P1 Bucha",1289224,843,2,ATIVO,UNIDADE,410.54,205.27
"4897876 ESPAÇADOR",1289225,870,2,ATIVO,UNIDADE,437.02,218.51
"YN55V01049P1	RETENTOR",1289226,869,3,ATIVO,UNIDADE,425.67,141.89
"YN55V01057P1	RETENTOR",1289227,868,6,ATIVO,UNIDADE,289.44,48.24
"YN30V00080F1	VALVULA PILOTO",1289228,867,1,ATIVO,UNIDADE,3670.2,3670.2
"YM01V00018R300 KIT REPARO",1289229,866,1,ATIVO,UNIDADE,1583.48,1583.48
"YM01V00018R100 KIT REPARO",1289230,865,1,ATIVO,UNIDADE,1479.43,1479.43
"YM01V00019R200 KIT REPARO",1289231,864,1,ATIVO,UNIDADE,2201.18,2201.18
